Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C2, C3, C4",0402,4,220p,C1530
"C10, C12, C13, C7, C9",0402,5,100n,C1525
"C11, C8",CP_EIA-3216-18_Kemet-A,2,10u,C7171
C5,0402,1,6.8n,C1542
C6,0402,1,10n,C15195
D1,SOT-23,1,"BAV99,215",C2500
"D2, D5",LED_D3.0mm,2,LED,
"D3, D4",D_SOD-323,2,1N5819,C191023
J1,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,UP_Out,
J2,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,CLK In,
J3,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,BP_Inv_Out,
J4,Jack_3.5mm_QingPu_WQP-PJ301M-12,1,BP_Out,
J5,Power_2x5_Vertical,1,Power,
"P1, P3, P4",Potentiometer_AlpsAlpine_RK09L1140_wo_Fix,3,B100K,
P2,Potentiometer_AlpsAlpine_RK09L1140,1,B100K,
"R1, R2, R3, R4",0402,4,470R,C25117
"R10, R16, R21, R7",0402,4,1k,C11702
"R11, R13, R15, R17, R18, R19, R20, R23, R24, R9",0402,10,10k,C25744
R12,0402,1,100k,C25741
R14,0402,1,20k,C25765
"R22, R8",0402,2,300R,C25102
R5,0603,1,13k,C22797
R6,0402,1,27k,C25771
"SW1, SW2",SW_PUSH_6mm,2,Button,
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,TL072,C6961
